"months","member_casual","row_count"
"January","casual",18520
"January","member",85250
"February","casual",21416
"February","member",94193
"March","casual",89880
"March","member",194160
"April","casual",126417
"April","member",244832
"May","casual",280414
"May","member",354443
"June","casual",369044
"June","member",400148
"July","casual",406046
"July","member",417426
"August","casual",412662
"August","member",391661
"September","casual",296694
"September","member",404636
"October","casual",208988
"October","member",349693
"November","casual",100747
"November","member",236947
"December","casual",69738
"December","member",177802
